dag,gepland_label,platform,formaat,handmatig,video_bestand,media_url,caption_preview,zernio_ig,zernio_tiktok,live_gepost,permalink,notities
1,2026-06-01 18:00 CET,instagram,reel,ja,public/videos/pilar-double-buy.mp4,https://www.shelfieease.app/videos/pilar-double-buy.mp4,POV: duplicaat op je plank gevonden 😭📚,,,,,
2,2026-06-02 18:00 CET,instagram,carousel,ja,,,Carrousel: book hoarder zonder het te zeggen,,n.v.t.,,,Alleen handmatig in app
4,2026-06-04 12:00 CET,instagram,story,ja,,,Story poll: onafgemaakte series,,n.v.t.,,,Alleen handmatig in app
6,2026-06-06 18:00 CET,instagram,reel,ja,public/videos/pilar-sharing.mp4,https://www.shelfieease.app/videos/pilar-sharing.mp4,Je shelfie card in 60 seconden 📚✨,,,,,
8,2026-06-08 18:00 CET,instagram,reel,ja,public/videos/pilar-visual-light.mp4,https://www.shelfieease.app/videos/pilar-visual-light.mp4,Emoji-planken in ShelfieEase 📚✨,,,,,
10,2026-06-10 10:00 CET,instagram,reel,ja,public/videos/pilar-scattered-reading.mp4,https://www.shelfieease.app/videos/pilar-scattered-reading.mp4,Ik onthoud wel welke boeken ik heb 😭,,,,,
12,2026-06-12 18:00 CET,instagram,story,ja,,,Story: TBR-persoonlijkheid poll,,n.v.t.,,,Alleen handmatig in app
14,2026-06-14 18:00 CET,instagram,reel,ja,public/videos/pilar-calm-relief.mp4,https://www.shelfieease.app/videos/pilar-calm-relief.mp4,TBR → Lezen → Gelezen = satisfying 📚,,,,,
15,2026-06-15 18:00 CET,instagram,carousel,ja,,,Carrousel: zomer-TBR picks,,n.v.t.,,,Alleen handmatig in app
17,2026-06-17 12:00 CET,instagram,reel,ja,public/videos/pilar-one-system.mp4,https://www.shelfieease.app/videos/pilar-one-system.mp4,Zomerplank in 3 stappen ☀️,,,,,
19,2026-06-19 18:00 CET,instagram,story,ja,,,Story serie: ShelfieEase juni-challenge,,n.v.t.,,,Alleen handmatig in app
21,2026-06-21 18:00 CET,instagram,reel,ja,public/videos/pilar-cluster-stress.mp4,https://www.shelfieease.app/videos/pilar-cluster-stress.mp4,Zomer-TBR die om genade smeert ☀️📚,,,,,
23,2026-06-23 18:00 CET,instagram,reel,ja,public/videos/pilar-stop-overorganizing.mp4,https://www.shelfieease.app/videos/pilar-stop-overorganizing.mp4,DNF is geen falen — het is een grens 📚,,,,,
25,2026-06-25 12:00 CET,instagram,carousel,ja,,,Carrousel: 5 stadia book hangover,,n.v.t.,,,Alleen handmatig in app
27,2026-06-27 18:00 CET,instagram,reel,ja,public/videos/pilar-identity.mp4,https://www.shelfieease.app/videos/pilar-identity.mp4,Alles wat ShelfieEase doet — 60 sec 📚,,,,,
28,2026-06-28 18:00 CET,instagram,story,ja,,,Story: 2026 leesdoel check-in,,n.v.t.,,,Alleen handmatig in app
30,2026-06-30 18:00 CET,instagram,carousel,ja,,,Carrousel: juni reading wrap,,n.v.t.,,,Alleen handmatig in app
